school	decision	round	gpa_uw	gpa_w	test	hooks	ec_tier	major
# Real applicant outcomes scraped from College Confidential + a public r/collegeresults mirror, 2026-05-31.
# ~480 rows across selectivity tiers. CALIBRATION REFERENCE ONLY — self-report + survivorship bias
# (acceptances over-posted, skews high-stat/Asian/STEM/test-submitter). Round is "unknown" for many.
# Richer narrative set (49 profiles, full ECs/essays/per-round decisions) lives in manual_profiles_49.md.
Yale	accept	RD	3.95	4.44	33 ACT	first_gen,URM	state music + mock trial + track captain	?
Cornell	accept	ED	4.27	?	35 ACT	legacy	MUN + DECA president	?
Cornell	accept	RD	?	?	33 ACT	first_gen,low_income,URM	tour guide + MUN	?
Cornell	accept	RD	3.9	?	32 ACT	none	state student leader + speech captain	?
Dartmouth	accept	ED	4.0	4.5	1500 SAT	recruited	Eagle Scout + JROTC cmdr + West Point appt	?
Stanford	accept	RD	?	4.2	1560 SAT	none	2 published books + math content creator	Mathematics
Harvard	reject	RD	?	4.2	1560 SAT	none	2 published books + math content creator	Mathematics
Harvard	accept	EA	?	?	1600 SAT	none	standard strong	math
Harvard	accept	RD	?	?	1540 SAT	none	standard strong	?
Harvard	reject	unknown	?	?	1570 SAT	low_income	standard strong	computer science
Yale	accept	ED	?	?	1540 SAT	none	standard strong	math
Yale	reject	unknown	?	?	1470 SAT	international	standard strong	econ
Princeton	accept	EA	?	?	1600 SAT	none	standard strong	math
Princeton	accept	unknown	?	?	1570 SAT	low_income	standard strong	computer engineering
Princeton	reject	ED	?	?	33 ACT	none	standard strong	sociology
Brown	accept	ED	?	?	1570 SAT	none	standard strong	electrical engineering
Brown	accept	ED	?	?	1510 SAT	none	standard strong	?
Brown	reject	ED	?	?	1570 SAT	none	standard strong	bio
Dartmouth	accept	ED	?	?	36 ACT	none	standard strong	physics
Dartmouth	reject	unknown	?	?	1550 SAT	international	standard strong	math
UPenn	accept	ED	?	?	1500 SAT	first_gen,URM	standard strong	electrical engineering
UPenn	accept	ED	?	?	1410 SAT	none	standard strong	finance
UPenn	reject	unknown	?	?	1570 SAT	low_income	standard strong	computer science
Cornell	accept	ED	?	?	1550 SAT	none	standard strong	history
Cornell	reject	ED	?	?	1490 SAT	low_income	standard strong	computer science
Stanford	accept	EA	?	?	1600 SAT	none	standard strong	math
Stanford	reject	unknown	?	?	1560 SAT	international	standard strong	math
MIT	accept	EA	?	?	1550 SAT	none	standard strong	math
MIT	accept	EA	?	?	1530 SAT	none	standard strong	computer science
MIT	reject	EA	?	?	1590 SAT	none	standard strong	neuroscience
MIT	reject	unknown	?	?	1550 SAT	international	standard strong	math
Duke	accept	ED	3.82	4.32	30 ACT	low_income	state/leadership	Computer Science
Duke	defer	ED	3.84	4.53	1490 SAT	none	national/founder	Mechanical Engineering
Duke	accept	RD	4.0	?	1550 SAT	none	national/founder	Engineering
Duke	reject	RD	4.0	?	35 ACT	none	national/founder	economics
Vanderbilt	reject	unknown	4.0	?	36 ACT	none	?	?
Vanderbilt	reject	RD	4.0	?	1540 SAT	none	solid	?
Vanderbilt	accept	RD	?	4.3	1530 SAT	none	national/founder	?
Vanderbilt	accept	RD	4.0	?	1590 SAT	none	?	?
Vanderbilt	accept	unknown	4.0	?	35 ACT	none	?	?
Vanderbilt	accept	RD	4.0	4.6	1530 SAT	low_income	?	?
Vanderbilt	accept	unknown	?	?	1500 SAT	URM	state/leadership	?
Vanderbilt	reject	unknown	4.0	?	34 ACT	legacy	state/leadership	?
Northwestern	reject	RD	4.0	?	1540 SAT	legacy	solid	?
Northwestern	accept	unknown	4.0	4.47	1560 SAT	none	national/founder	?
Northwestern	accept	unknown	4.0	4.0	35 ACT	legacy	national/founder	?
